rank,word,occurrences (ppm),lemma forms
6001,investigador,10,investigador
6002,fan,10,fan
6003,falsos,10,falso
6004,echarle,10,echar
6005,dire,10,decir
6006,cuide,10,cuidar
6007,comemos,10,comer
6008,transmisor,10,transmisor
6009,servido,10,servido servir
6010,salchichas,10,salchicha
6011,récord,10,record
6012,raíces,10,raíz
6013,propongo,10,proponer
6014,oficinas,10,oficina
6015,neo,10,neo neón
6016,navegar,10,navegar
6017,llevarnos,10,llevar
6018,lastima,10,lastima lástima
6019,granero,10,granero
6020,ginebra,10,ginebra
6021,evidencias,10,evidencia
6022,enseñarme,10,enseñar
6023,dejaras,10,dejar
6024,dañado,10,dañado dañar
6025,cuentes,10,contar
6026,bandas,10,banda
6027,avancen,10,avanzar
6028,ángulo,10,ángulo
6029,ancianos,10,anciano
6030,activado,10,activado activar
6031,acceder,10,acceder
6032,varón,10,varón
6033,sociales,10,social
6034,sake,10,sake
6035,recuperado,10,recuperado recuperar
6036,quedarán,10,quedar
6037,porfavor,10,por favor
6038,navaja,10,navaja
6039,muñeco,10,muñeco
6040,milord,10,milord
6041,manchas,10,mancha manchar
6042,escuchamos,10,escuchar
6043,entremos,10,entrar
6044,cosmos,10,cosmos
6045,conservar,10,conservar
6046,condesa,10,condesa
6047,ataúd,10,ataúd
6048,antena,10,antena
6049,anciana,10,anciano anciana
6050,ademas,10,además
6051,toro,10,toro
6052,subido,10,subido subir
6053,sígame,10,seguir
6054,recoge,10,recoger
6055,quemando,10,quemar
6056,preguntaré,10,preguntar
6057,pondría,10,poner
6058,pensión,10,pensión
6059,panel,10,panel
6060,muriera,10,morir
6061,llegarás,10,llegar
6062,inversión,10,inversión
6063,hablen,10,hablar
6064,geniales,10,genial
6065,genética,10,genética genético
6066,funciones,10,función
6067,enfermería,10,enfermería
6068,destruye,10,destruir
6069,destruirlo,10,destruir
6070,cargamento,10,cargamento
6071,calmado,10,calmado calmar
6072,cabe,10,caber
6073,billete,10,billete
6074,asustó,10,asustar
6075,aparecen,10,aparecer
6076,aléjese,10,alejar
6077,recuperación,10,recuperación
6078,portada,10,portada portado portar
6079,mojado,10,mojado mojar
6080,método,10,método
6081,masiva,10,masivo
6082,martillo,10,martillo martillar
6083,hospitales,10,hospital
6084,hallaron,10,hallar
6085,hallamos,10,hallar
6086,fax,10,fax
6087,exacta,10,exacto
6088,estrés,10,estrés
6089,empezaste,10,empezar
6090,echaron,10,echar
6091,cuidados,10,cuidado cuidar
6092,creíste,10,creer
6093,conteste,10,contestar
6094,avisar,10,avisar
6095,atraparon,10,atrapar
6096,viaja,10,viajar
6097,terrorismo,10,terrorismo
6098,tarado,10,tarado
6099,salchicha,10,salchicha
6100,pum,10,pum
6101,peste,10,peste
6102,niego,10,negar
6103,morgue,10,morgue
6104,misteriosa,10,misterioso
6105,miseria,10,miseria
6106,mantenimiento,10,mantenimiento
6107,malentendido,10,malentendido
6108,justamente,10,justamente
6109,iniciar,10,iniciar
6110,escondiendo,10,esconder
6111,cambiaste,10,cambiar
6112,caerá,10,caer
6113,bóveda,10,bóveda
6114,billetera,10,billetera
6115,amamos,10,amar
6116,unirse,10,unir
6117,soltera,10,soltera soltero
6118,mesas,10,mesa
6119,marte,10,marte
6120,logra,10,lograr
6121,indican,10,indicar
6122,imagínate,10,imaginar
6123,gusanos,10,gusano
6124,grabación,10,grabación
6125,fuegos,10,fuego
6126,firmada,10,firmado firmar
6127,experiencias,10,experiencia
6128,editor,10,editor
6129,asilo,10,asilo
6130,venid,9,venir
