,Dutch,POS,Translation
2250,lieten,Verb,left
2251,smerig,Adjective,filthy
2252,bewakers,Noun,guards
2253,klok,Noun,clock
2254,oor,Noun,ear
2255,verzet,Noun,resists
2256,stijl,Noun,style
2257,richten,Verb,to target
2258,invloed,Noun,influence
2259,opgepakt,Verb,arrested
2260,mogelijke,Adjective,possible
2261,spelletjes,Noun,games
2262,kerstman,Noun,Santa Claus
2263,markt,Noun,market
2264,bewaren,Verb,save
2265,brieven,Noun,letters
2266,studenten,Noun,students
2267,varken,Verb,pig
2268,komst,Noun,coming
2269,lelijk,Adjective,ugly
2270,centrum,Noun,Centre
2271,vijftien,Numeral,fifteen
2272,kaas,Noun,cheese
2273,genie,Noun,genius
2274,valse,Adjective,false
2275,donkere,Adjective,dark
2276,huur,Noun,rent
2277,VS,Proper noun,USA
2278,verdween,Verb,disappeared
2279,overtuigd,Verb,convinced
2280,aangezien,Conjunction,since
2281,cijfers,Noun,Numbers
2282,overwinning,Noun,victory
2283,behandeling,Noun,therapy
2284,belofte,Noun,promise
2285,bekeken,Verb,Viewed
2286,breekt,Verb,breaks
2287,jarige,Adjective,year old
2288,training,Noun,training
2289,artikel,Noun,article
2290,stelletje,Noun,bunch
2291,kloppen,Verb,to beat
2292,maakten,Verb,made
2293,verrast,Verb,surprised
2294,beroep,Noun,profession
2295,honderden,Numeral,hundreds
2296,zette,Verb,put
2297,waardeloos,Adjective,worthless
2298,rechtbank,Noun,court
2299,Robin,Proper noun,Robin
2300,wijzen,Verb,ways
2301,vingerafdrukken,Noun,fingerprints
2302,bleek,Verb,pale
2303,maagd,Noun,virgin
2304,camera's,Noun,cameras
2305,China,Proper noun,China
2306,personeel,Noun,staff
2307,minstens,Adverb,at least
2308,schitterend,Verb,wonderful
2309,diegene,Pronoun,that one
2310,starten,Verb,start
2311,geheel,Noun,whole
2312,jeugd,Noun,youth
2313,berichten,Noun,to inform
2314,mensheid,Noun,humanity
2315,gepland,Verb,planned
2316,ramp,Noun,disaster
2317,onderwerp,Noun,subject
2318,Californië,Proper noun,California
2319,zwembad,Noun,swimming pool
2320,explosie,Noun,explosion
2321,ha,Symbol,ha
2322,duurde,Verb,lasted
2323,noch,Conjunction,nor
2324,sliep,Verb,slept
2325,redelijk,Adjective,reasonable
2326,excuus,Noun,excuse
2327,moge,Auxiliary,may
2328,smeek,Pronoun,beg
2329,geintje,Noun,kidding
2330,pen,Noun,pen
2331,terroristen,Noun,terrorists
2332,boerderij,Noun,farm
2333,belangrijker,Adjective,more important
2334,burger,Noun,civilian
2335,doodt,Adverb,kills
2336,overtuigen,Verb,convince
2337,nep,Symbol,fake
2338,diamanten,Noun,diamonds
2339,aap,Noun,monkey
2340,ophangen,Noun,to hang
2341,verderop,Adverb,beyond
2342,jacht,Noun,hunt
2343,masker,Noun,mask
2344,mars,Noun,Mars
2345,onthouden,Verb,to remember
2346,kleding,Noun,clothing
2347,schaduw,Noun,shadow
2348,overkomt,Verb,happens
2349,bovendien,Adverb,moreover
2350,Duitse,Adjective,German
2351,fearless,Noun,fearless
2352,walgelijk,Adjective,disgusting
2353,amen,Preposition,Amen
2354,richt,Verb,dir
2355,dwars,Adjective,thwarted
2356,vriendschap,Noun,friendship
2357,7Up,Numeral,7Up
2358,slang,Adjective,snake
2359,gouverneur,Noun,governor
2360,touw,Noun,rope
2361,onthoud,Noun,Remember
2362,daarbij,Adverb,thereby
2363,zand,Noun,sand
2364,plicht,Noun,duty
2365,trok,Verb,pulled
2366,wegkomt,Verb,gets away
2367,onschuldige,Adjective,innocent
2368,collega,Noun,co-worker
2369,onszelf,Pronoun,ourselves
2370,voorbereid,Verb,prepared
2371,haalde,Verb,got
2372,Greg,Proper noun,Greg
2373,verwijderd,Verb,deleted
2374,veranderde,Verb,changed
2375,gunst,Noun,favor
2376,okee,Noun,okay
2377,leden,Noun,members
2378,wassen,Verb,to wash
2379,win,Verb,win
2380,gepleegd,Verb,committed
2381,snijden,Verb,to cut
2382,Frans,Proper noun,French
