rank	word	lemma
6759	leerlo	leer
6757	persigue	perseguir
6756	retirar	
6752	atacando	atacar
6750	canto	cantar
6748	combatir	
6747	crece	crecer
6746	diviértete	divertir
6745	escudos	escudo
6744	fallar	
6743	habríamos	haber
6742	imaginado	imaginar
6739	lecciones	lección
6738	mordido	morder
6737	mordido	
6736	necesitabas	necesitar
6735	negar	
6734	planea	planear
6733	servirle	servir
6732	simples	simple
6731	tremenda	tremendo
6730	viajando	viajar
6728	arrestaron	arrestar
6727	colgado	colgar
6725	creerá	creer
6724	disparan	disparar
6723	duermas	dormir
6720	llora	llorar
6719	molestado	molestar
6717	muestre	mostrar
6715	pensaron	pensar
6711	tirando	tirar
6710	aprendiendo	aprender
6708	despejen	despejar
6707	joda	joder
6704	moderno	
6703	roba	robar
6702	soñé	soñar
6697	verse	ver
6696	vitales	vital
6695	abuelita	abuela
6690	averigua	averiguar
6689	bonitos	bonito
6687	deberiamos	deber
6686	dejarnos	dejar
6685	diremos	decir
6679	muestran	mostrar
6678	reportes	reporte
6677	responsables	responsable
6675	situaciones	situación
6674	tocaba	tocar
6673	tuviéramos	tener
6671	vendo	vender
6669	botones	botón
6668	cadenas	cadena
6666	comerciales	comercial
6665	construido	construir
6663	cortina	
6662	empiecen	empezar
6660	limpias	limpio
6659	muros	muro
6655	rojos	rojo
6651	celosa	celoso
6650	cerradas	cerrado
6649	comenzaron	comenzar
6648	enseñarles	enseñar
6646	magnífica	magnífico
6645	mañanas	mañana
6641	voló	volar
6640	atiende	atender
6638	casé	casar
6637	cayeron	caer
6636	cerró	cerrar
6635	descubre	descubrir
6629	saldrás	salir
6626	acabando	acabar
6625	aceptas	aceptar
6624	artistas	artista
6621	doler	
6620	eligió	elegir
6618	hablará	hablar
6616	huyó	huir
6615	lance	lanzar
6612	quitarle	quitar
6611	tomate	tomar
6610	tomate	
6609	acabé	acabar
6608	bosques	bosque
6605	explosivo	
6604	faltaba	faltar
6592	ejercicios	ejercicio
6591	enojar	
6588	leíste	leer
6587	residentes	residente
6586	siguientes	siguiente
6585	soltar	
6583	vigilar	
6582	vivirá	vivir
6580	agarró	agarrar
6578	crecí	crecer
6577	esperes	esperar
6575	llamaría	llamar
6574	llevarán	llevar
6573	organizar	
6569	pintar	
6568	sacando	sacar
6565	tomaría	tomar
6563	accidentes	accidente
6561	arrestar	
6560	atraparlo	atrapar
6558	botellas	botella
6557	buscaremos	buscar
6556	canales	canal
6555	dejaba	dejar
6553	imaginaba	imaginar
6552	inteligentes	inteligente
6548	preocuparme	preocupar
6546	quítense	quitar
6545	recibiste	recibir
6544	valores	valor
6540	girar	
6539	hallé	hallar
6538	mátame	matar
6537	principales	principal
6536	sentidos	sentir
6535	sentidos	sentido
6532	anuncios	anuncio
6528	dejare	dejar
6527	discúlpenme	disculpar
6518	mide	medir
6517	pidieron	pedir
6516	presos	preso
6513	retirarse	retirar
6511	sugiere	sugerir
6506	discutiendo	discutir
6505	enamorados	enamorar
6504	enamorados	enamorado
6503	estara	estar
6502	intentan	intentar
6501	lindas	lindo
6496	pelos	pelo
6495	repetir	
6494	saltó	saltar
6493	símbolos	símbolo
6491	victima	víctima
6490	amenazas	amenazar
6489	amenazas	amenaza
6488	artículos	artículo
6485	cometió	cometer
6483	dejarle	dejar
6480	enterrar	
6479	envío	enviar
6477	escuches	escuchar
6476	explicarte	explicar
6472	presentarte	presentar
6470	suelten	soltar
6468	bésame	besar
6467	entere	enterar
6466	escuchame	escuchar
6465	estare	estar
6464	humanas	humano
6463	maestros	maestro
6458	poderosos	poderoso
6457	presentó	presentar
6454	respetar	
6453	ridícula	ridículo
6451	adora	adorar
6445	distintos	distinto
6444	divertirse	divertir
6442	eterno	
6441	fingiendo	fingir
6439	huella	
6438	llámeme	llamar
6437	mandado	mandar
6435	mandé	mandar
6434	mientas	mentir
6433	normas	norma
6432	preferido	preferir
6429	soñar	
6427	aceptarlo	aceptar
6426	callar	
6424	contarme	contar
6423	crean	crear
6422	cruce	cruzar
6418	enteré	enterar
6417	entrenado	entrenar
6415	indicado	indicar
6413	juegan	jugar
6412	perderte	perder
6411	pónganse	poner
6410	serios	serio
6407	ventas	venta
6406	vuestras	vuestro
6398	mostró	mostrar
6397	naciste	nacer
