,Dutch,POS,Translation
1500,halve,Adjective,half
1501,verdwijnen,Verb,to disappear
1502,gelogen,Verb,lied
1503,past,Verb,suits
1504,bespreken,Verb,discuss
1505,motor,Noun,engine
1506,ontsnapt,Verb,Escaped
1507,momentje,Noun,just hold on
1508,ontbijt,Noun,breakfast
1509,toilet,Noun,toilet
1510,uitzoeken,Verb,to sort
1511,volwassen,Adjective,adult
1512,eeuwig,Proper noun,eternal
1513,afmaken,Verb,kill
1514,dol,Adjective,crazy
1515,terecht,Adjective,justifiably
1516,oren,Noun,ears
1517,machine,Noun,machine
1518,verpest,Symbol,ruined
1519,verlaat,Verb,leaves
1520,klootzakken,Verb,bastards
1521,top,Noun,top
1522,gemakkelijk,Adjective,easy
1523,gearresteerd,Verb,arrested
1524,doos,Adjective,box
1525,geschoten,Verb,shot
1526,gegeten,Verb,ate
1527,betaalt,Verb,pays
1528,rare,Adjective,weird
1529,big,Proper noun,big
1530,ochtend,Noun,morning
1531,ruikt,Verb,smells
1532,huid,Noun,skin
1533,trut,Symbol,bitch
1534,verhalen,Noun,stories
1535,verraden,Verb,betray
1536,tonen,Verb,to show
1537,hopen,Verb,to hope
1538,virus,Noun,virus
1539,bedoeling,Noun,intention
1540,officier,Noun,officer
1541,schreef,Verb,wrote
1542,krachten,Noun,forces
1543,papieren,Verb,paper
1544,bijzonder,Adjective,special
1545,betekenen,Verb,mean
1546,opnemen,Verb,to withdraw
1547,strand,Noun,beach
1548,rapport,Noun,report
1549,binnenkort,Adverb,shortly
1550,twijfel,Noun,doubt
1551,inspecteur,Noun,inspector
1552,gekke,Adjective,crazy
1553,veld,Noun,field
1554,rechercheur,Noun,detective
1555,lunch,Noun,lunch
1556,ondertitel,Noun,subtitle
1557,opstaan,Noun,to get up
1558,lui,Pronoun,lazy
1559,gezocht,Verb,sought
1560,ophalen,Verb,to retrieve
1561,verslaan,Verb,defeat
1562,ergste,Adjective,worst
1563,drankje,Noun,drink
1564,publiek,Noun,audience
1565,nerveus,Adjective,nervous
1566,gedrag,Noun,behaviour
1567,troep,Noun,rubbish
1568,lab,Adjective,lab
1569,roken,Verb,smoking
1570,keren,Verb,turn
1571,zocht,Verb,was looking for
1572,bad,Noun,bath
1573,dik,Adjective,fat
1574,vaders,Noun,fathers
1575,alarm,Noun,alarm
1576,akkoord,Noun,agree
1577,doelwit,Adjective,target
1578,vaker,Adjective,more often
1579,schade,Noun,injury
1580,bruiloft,Verb,wedding
1581,gegevens,Noun,facts
1582,genoemd,Verb,named
1583,terugkomen,Verb,coming back
1584,vernietigd,Verb,destroyed
1585,steken,Verb,stiches
1586,geweld,Noun,violence
1587,vergeven,Verb,to forgive
1588,Amerikanen,Proper noun,Americans
1589,mening,Noun,opinion
1590,kies,Noun,choose
1591,type,Noun,type
1592,bedacht,Verb,invented
1593,belangrijkste,Adjective,main
1594,las,Verb,las
1595,grens,Noun,border
1596,paniek,Noun,panic
1597,universiteit,Noun,university
1598,verboden,Verb,forbidden
1599,west,Noun,west
1600,rotzooi,Noun,mess
1601,moed,Noun,courage
1602,dichterbij,Adjective,closer
1603,blanke,Adjective,White person
1604,verbergen,Noun,hide
1605,gaaf,Adjective,great
1606,voorkomen,Verb,prevent
1607,duivel,Noun,devil
1608,persoonlijke,Adjective,personal
1609,bepaalde,Verb,certain
1610,Rome,Proper noun,Rome
1611,rusten,Verb,rest
1612,juffrouw,Noun,miss
1613,fles,Noun,bottle
1614,kaarten,Noun,Cards
1615,dna,Noun,DNA
1616,stappen,Noun,steps
1617,vrije,Adjective,free
1618,schijnt,Verb,appears
1619,favoriete,Adjective,favourite
1620,spelletje,Noun,game
1621,broeder,Adjective,brother
1622,coach,Noun,coach
1623,overkomen,Verb,happen
1624,poort,Verb,gate
1625,zomer,Noun,summer
1626,afgesproken,Verb,agreed to meet
1627,bron,Noun,source
1628,advies,Noun,advice
1629,Pete,Proper noun,Pete
1630,Jason,Proper noun,Jason
1631,sukkel,Noun,softy
1632,geslapen,Verb,slept
1633,jaloers,Noun,jealous
1634,kogels,Noun,bullets
1635,kamp,Noun,camp
1636,zwak,Adjective,weak
1637,gevolgd,Verb,followed
1638,vertrokken,Verb,left
1639,stuurde,Verb,sent
1640,menselijke,Adjective,human
1641,klanten,Noun,customers
1642,lukken,Verb,succeed
1643,Engeland,Proper noun,England
1644,vingers,Noun,fingers
1645,ziekte,Noun,disease
1646,vissen,Verb,fishing
1647,CIA,Proper noun,C.I.A
1648,Mexico,Proper noun,Mexico
1649,locatie,Noun,location
1650,vangen,Verb,to catch
1651,waardoor,Adverb,as a result of which
1652,nagedacht,Verb,thought
1653,gaven,Verb,gifts
1654,medische,Adjective,medical
1655,geloofde,Verb,believed
1656,mooiste,Adjective,most beautiful
1657,broers,Noun,brothers
1658,tevreden,Adjective,satisfied
1659,city,Symbol,City
1660,details,Noun,details
1661,gereed,Adjective,ready
1662,aangedaan,Verb,affected
1663,zojuist,Adverb,just now
1664,menselijk,Adjective,human
1665,blik,Noun,look
1666,verband,Noun,bandage
1667,schot,Noun,shot
1668,punten,Noun,points
1669,domme,Adjective,stupid
1670,vogel,Noun,bird
1671,project,Noun,project
1672,trekt,Verb,pulls
1673,stemmen,Noun,to vote
1674,genoegen,Noun,pleasure
1675,burgemeester,Noun,mayor
1676,genezen,Verb,cured
1677,gedachte,Noun,thought
1678,films,Noun,movies
1679,hoopte,Verb,hoped
1680,doc,Proper noun,doc
1681,gebruikte,Verb,used
1682,gelaten,Verb,left
1683,voeren,Verb,feed
1684,bedenken,Verb,to think of
1685,bekijk,Adjective,look at
1686,verborgen,Verb,hidden
1687,oplossing,Noun,solution
1688,donder,Noun,Thunder
1689,verdomd,Verb,damn
1690,laag,Adjective,low
1691,km,Symbol,km
1692,bak,Noun,bin
1693,speelde,Verb,played
1694,verwachten,Verb,to expect
1695,uitstekend,Adjective,excellent
1696,voedsel,Noun,food
1697,arts,Noun,doctor
1698,fouten,Noun,errors
1699,super,Noun,super
1700,testen,Verb,to test
1701,kleur,Noun,colour
1702,aangevallen,Verb,attacked
1703,station,Noun,station
1704,kip,Verb,chicken
1705,Simon,Proper noun,Simon
1706,piloot,Noun,pilot
1707,truck,Noun,truck
1708,duizenden,Numeral,thousands
1709,kluis,Noun,safe
1710,maatje,Noun,Buddy
1711,des,Determiner,des
1712,echtgenoot,Noun,husband
1713,Don,Proper noun,Don
1714,vermoordt,Verb,kills
1715,gouden,Adjective,golden
1716,elf,Numeral,eleven
1717,gebleven,Verb,remained
1718,taal,Noun,language
1719,sterker,Adjective,stronger
1720,noorden,Noun,north
1721,zwemmen,Verb,swimming
1722,hoewel,Conjunction,although
1723,leugenaar,Noun,liar
1724,St.,Proper noun,St.
1725,vermist,Verb,missing
1726,toon,Noun,show
1727,vijanden,Noun,enemies
1728,meegemaakt,Verb,experienced
1729,compleet,Adjective,completely
1730,shirt,Adjective,shirt
1731,deuren,Noun,doors
1732,vertrekt,Verb,leaves
1733,lijden,Verb,suffering
1734,geïnteresseerd,Verb,interested
1735,veroorzaakt,Verb,causes
1736,telefoontje,Noun,phone call
1737,proces,Noun,process
1738,tent,Noun,tent
1739,harder,Adjective,louder
1740,drank,Noun,drink
1741,begrafenis,Noun,funeral
1742,achtergelaten,Verb,abandoned
1743,gedragen,Verb,to behave
1744,war,Noun,war
1745,verstand,Noun,mind
1746,stuurt,Verb,sends
1747,snapt,Verb,understands
1748,oplossen,Verb,dissolve
1749,vaarwel,Noun,farewell
