,Unnamed: 0,Dutch,POS,Translation,ChatGPT_Sentence
0,100,nou,Adverb,Well,"Nou, wij weten niets.
Well, we know nothing."
1,101,mee,Preposition,along,"Kom je mee tot het einde?
Are you coming along to the end?"
2,102,misschien,Adverb,maybe,"Misschien komen wij weer.
Maybe we will come again."
3,103,even,Adverb,for a bit,"Kun je even wachten tot iemand komt?
Can you wait a moment until someone comes?"
4,104,iemand,Pronoun,someone,"Iemand zei dat wij nodig zijn.
Someone said that we are needed."
5,105,komt,Verb,comes,"Hij komt misschien weer.
He might come again."
6,106,niets,Pronoun,nothing,"Er is niets nodig.
Nothing is needed."
7,107,zei,Verb,said,"Hij zei dat veel mensen komen.
He said that many people are coming."
8,108,hou,Verb,love,"Ik hou van onze mensen.
I love our people."
9,109,komen,Verb,come,"Wij komen tot het einde.
We are coming to the end."
10,110,mensen,Noun,people,"Veel mensen weten niets.
Many people know nothing."
11,111,onze,Pronoun,our,"Onze mensen komen weer.
Our people are coming again."
12,112,nodig,Adjective,necessary,"Wij hebben niets nodig.
We need nothing."
13,113,tot,Preposition,until,"Wacht tot iemand komt.
Wait until someone comes."
14,114,worden,Auxiliary,become,"Wij worden misschien beter.
We might become better."
15,115,veel,Pronoun,a lot of,"Veel mensen weten niets.
Many people know nothing."
16,116,weten,Verb,know,"Wij weten misschien niets.
We might know nothing."
17,117,leven,Noun,to live,"Ons leven is weer goed.
Our life is good again."
18,118,wij,Pronoun,We,"Wij komen misschien weer.
We might come again."
19,119,weer,Adverb,weather,"Het weer wordt beter.
The weather is getting better."
20,120,gewoon,Adjective,Ordinary,"Het is gewoon tijd om te gaan.
It is just time to go."
21,121,kijk,Verb,look,"Kijk, daar zitten twee vogels.
Look, there are two birds sitting."
22,122,zeggen,Verb,say,"Ze zeggen dat het net gedaan is.
They say it is just done."
23,123,tijd,Noun,time,"Het is tijd om te zeggen wat je denkt.
It is time to say what you think."
24,124,zeg,Verb,say,"Zeg, mag ik uw boek lenen?
Say, may I borrow your book?"
25,125,twee,Numeral,two,"Hij heeft twee katten en één hond.
He has two cats and one dog."
26,126,toen,Conjunction,when,"Ik was blij toen ik het nieuws hoorde.
I was happy when I heard the news."
27,127,tegen,Preposition,in return for,"Hij praat tegen z'n vriend.
He talks to his friend."
28,128,zit,Verb,sit,"De kat zit net op de stoel.
The cat is just sitting on the chair."
29,129,net,Adverb,just,"Ik heb het net gedaan.
I just did it."
30,130,dood,Noun,dead,"De bloem is dood omdat het geen water kreeg.
The flower is dead because it didn't get water."
31,131,uw,Pronoun,your,"Is dit uw boek dat ik mag lenen?
Is this your book that I may borrow?"
32,132,wordt,Auxiliary,is becoming,"Het wordt tijd om te gaan.
It is becoming time to go."
33,133,hé,Interjection,Hey,"Hé, kijk eens naar dit!
Hey, look at this!"
34,134,maken,Verb,to make,"We maken het huis schoon omdat het vies is.
We clean the house because it is dirty."
35,135,mag,Auxiliary,allowed,"Mag ik tegen je zeggen wat ik denk?
May I tell you what I think?"
36,136,één,Numeral,An,"Ik heb één appel en twee bananen.
I have one apple and two bananas."
37,137,z'n,Pronoun,his,"Hij heeft z'n werk gedaan.
He has done his work."
38,138,omdat,Conjunction,because,"Ik blijf thuis omdat het regent.
I stay home because it is raining."
39,139,gedaan,Verb,done,"Het werk is net gedaan.
The work is just done."
40,140,heel,Adjective,all,"Het huis is heel groot.
The house is very big."
41,141,af,Preposition,off,"De dag is bijna af.
The day is almost over."
42,142,altijd,Adverb,always,"Zij is altijd zeker.
She is always sure."
43,143,jouw,Pronoun,your,"Is dit jouw huis?
Is this your house?"
44,144,zeker,Adjective,Certainly,"Hij is zeker van zijn antwoord.
He is sure of his answer."
45,145,geef,Verb,give,"Ik geef jouw vader een boek.
I give your father a book."
46,146,zie,Verb,see,"Ik zie hun huis.
I see their house."
47,147,wacht,Verb,guard,"Wacht jij op jouw vader?
Are you waiting for your father?"
48,148,allemaal,Adverb,all,"Zij zijn allemaal hier.
They are all here."
49,149,jaar,Noun,year,"Het is een nieuw jaar.
It is a new year."
50,150,doet,Verb,do,"Hij doet het altijd zo.
He always does it like that."
51,151,dag,Noun,day,"De dag is heel mooi.
The day is very beautiful."
52,152,zij,Pronoun,she,"Zij geeft hun een cadeau.
She gives them a gift."
53,153,hun,Pronoun,their,"Hun huis is groot.
Their house is big."
54,154,huis,Noun,house,"Het huis is zeker oud.
The house is certainly old."
55,155,vader,Noun,father,"Mijn vader doet het werk.
My father does the work."
56,156,dank,Noun,thanks,"Dank voor jouw hulp.
Thanks for your help."
57,157,dacht,Verb,thought,"Ik dacht dat zij komt.
I thought she was coming."
58,158,kunt,Auxiliary,can,"Jij kunt altijd helpen.
You can always help."
59,159,zoals,Conjunction,as,"Hij doet het zoals jij.
He does it like you."
60,160,vrouw,Noun,woman,"De vrouw wilde binnen blijven.
The woman wanted to stay inside."
61,161,keer,Noun,time,"Iedereen verdient een tweede keer.
Everyone deserves a second chance."
62,162,anders,Adverb,otherwise,"Niemand doet het anders dan zij.
No one does it differently than her."
63,163,andere,Adjective,Others,"De andere vrouw zit binnen.
The other woman is sitting inside."
64,164,willen,Verb,want,"Ze willen beter werk vinden.
They want to find better work."
65,165,erg,Adjective,terribly,"Het is erg dat niemand wil helpen.
It is terrible that no one wants to help."
66,166,spijt,Noun,sorry,"Hij heeft spijt van zijn werk.
He regrets his work."
67,167,bedankt,Verb,Thank you,"Bedankt voor het geld, vrouw.
Thank you for the money, woman."
68,168,niemand,Pronoun,no one,"Niemand wilde binnen blijven.
No one wanted to stay inside."
69,169,wilt,Verb,want,"Als je wilt, kan iedereen binnenkomen.
If you want, everyone can come inside."
70,170,geld,Noun,money,"Iedereen wil meer geld verdienen.
Everyone wants to earn more money."
71,171,zitten,Verb,to sit,"Ze zitten binnen met spijt.
They are sitting inside with regret."
72,172,niks,Pronoun,nothing,"Niks is beter dan dit werk.
Nothing is better than this job."
73,173,iedereen,Pronoun,everyone,"Iedereen wilde beter werk vinden.
Everyone wanted to find better work."
74,174,binnen,Preposition,inside,"Iedereen zit binnen vanwege het weer.
Everyone is sitting inside because of the weather."
75,175,staat,Verb,stands,"Het geld staat op de tafel.
The money is on the table."
76,176,wilde,Verb,wild,"Hij wilde niemand anders zien.
He wanted to see no one else."
77,177,zich,Pronoun,himself,"Ze voelt zich beter na het werk.
She feels better after work."
78,178,beter,Adjective,better,"Het is beter als iedereen binnen blijft.
It is better if everyone stays inside."
79,179,werk,Noun,work,"Niemand wil dit werk doen.
No one wants to do this job."
80,180,praten,Verb,to talk,"We zullen na het eten praten.
We will talk after dinner."
81,181,gezien,Verb,seen,"Ik heb de hele film gezien.
I have seen the whole movie."
82,182,zullen,Auxiliary,shall,"Zullen we moeder helpen?
Shall we help mother?"
83,183,waren,Auxiliary,goods,"We waren klaar met het werk.
We were done with the work."
84,184,god,Noun,God,"Oh god, ik ben te laat.
Oh god, I am too late."
85,185,maak,Verb,make,"Ik maak het vast klaar.
I will make it ready for sure."
86,186,neem,Verb,take,"Neem genoeg tijd om te rusten.
Take enough time to rest."
87,187,vinden,Verb,find,"We konden het boek niet vinden.
We couldn't find the book."
88,188,vind,Verb,find,"Ik vind drie appels genoeg.
I find three apples enough."
89,189,moeder,Noun,mother,"Mijn moeder zal helpen met koken.
My mother will help with cooking."
90,190,kon,Auxiliary,could,"Hij kon het niet geloven.
He couldn't believe it."
91,191,uur,Noun,o'clock,"Het duurde een uur om klaar te zijn.
It took an hour to be ready."
92,192,klaar,Adjective,finished,"We waren klaar na drie uur.
We were ready after three hours."
93,193,genoeg,Adverb,enough,"Er is genoeg tijd om te praten.
There is enough time to talk."
94,194,helpen,Verb,to help,"Kun je me helpen na het eten?
Can you help me after dinner?"
95,195,oh,Pronoun,Oh,"Oh, ik heb het gezien!
Oh, I have seen it!"
96,196,hele,Adjective,whole,"De hele dag waren we bezig.
We were busy the whole day."
97,197,drie,Numeral,three,"We hebben drie uur gewacht.
We waited for three hours."
98,198,vast,Adjective,fixed,"Het plan staat vast na overleg.
The plan is fixed after consultation."
99,199,na,Preposition,after,"Na het werk neem ik rust.
After work, I take a rest."
