Dutch,Translation
eind,end
deden,did
mijne,mine
gooi,throw
gast,guest
zul,will
muur,wall
dode,dead
gewerkt,worked
kende,knew
ma,Mon
brand,fire
sluit,close
zon,Sun
diep,deep
arme,poor
bureau,desk
partner,partner
zeiden,said
boord,board
deal,deal
leggen,to lay
bom,bomb
rijk,rich
meiden,girls
held,hero
klote,shit
spreekt,speaks
vijand,enemy
schoenen,shoes
gewonnen,won
gebied,area
operatie,operation
volk,people
bewegen,to move
keek,watched
speel,play
zuster,sister
gelezen,read
achteruit,backwards
trein,train
extra,additional
lijk,corpse
bereiken,reaches
zee,sea
cool,cool
broek,pair of trousers
aanval,attack
neus,nose
oma,Grandma
systeem,system
kalm,calm
code,code
sergeant,sergeant
hoog,high
draai,play
slachtoffer,victim
les,lesson
uiteindelijk,finally
verdwenen,disappeared
eiland,Island
geschreven,written
gewond,injured
plannen,plan
spul,stuff
uitleggen,to explain
haast,hast
liegen,to lie
la,la
vertaling,translation
beloofd,promised
rode,red
bracht,brought
paard,horse
winkel,store
warm,hot
ex,ex
moeite,trouble
camera,camera
tijdje,while
interessant,interesting
geheime,secret
hoeven,hooves
feestje,party
persoonlijk,personal
gedownload,downloaded
vrede,peace
lot,lot
keus,choice
bus,bus
club,club
gevecht,fight
weggaan,leave
daarvan,of them
brief,letter
lastig,annoying
raam,window
levend,living
professor,professor
kiezen,to elect
liep,walked
vonden,found
hangt,hangs
sluiten,Close
verdienen,to deserve
helft,half
teveel,too many
leeg,empty
bleef,Remained
heerlijk,Delicious
eraf,off
gelukt,success
helaas,unfortunately
stelen,to steal
benen,legs
gezet,put
bekijken,to look at
boodschap,errand
eikel,jerk
lift,elevator
been,leg
gekocht,purchased
boeken,books
groter,taller
opschieten,Hurry up
gevallen,fallen
donker,dark
rechts,right
aandacht,attention
slaat,hit
ophouden,to hold up
drink,drink
slag,battle
vannacht,tonight
gehaald,fetched
speciaal,special
meegenomen,brought
koningin,queen
godsnaam,God sake
speciale,special one
test,test
geschiedenis,history
volledig,complete
zulke,such
raakt,hits
adres,address
alweer,again
meestal,generally
park,park
regering,government
ouwe,old
bestaan,to exist
sheriff,sheriff
dak,roof
zwanger,pregnant
gehouden,held
zelfmoord,suicide
vreemde,stranger
hopelijk,hopefully
adem,breath
vernietigen,destroy
betrokken,concerned
betaal,pay
koop,buy
nek,neck
brug,bridge
bezoek,visit
belt,calls
kwalijk,bad
ongelooflijk,unbelievable
bar,bar
ijs,ice
overleven,to survive
beiden,both
meenemen,take
gestorven,died
ontslagen,dismissed
aantal,number
vuile,dirty
geweer,rifle
beurt,turn
werkelijk,really
dichtbij,close to
zwart,black
laatst,last
liegt,lies
voeten,feet
lees,read
wisten,knew
zingen,to sing
toestemming,permission
gestopt,stopped
zaten,sat
kort,short
gepakt,caught
knap,good looking
waarop,on which
betere,better
ontdekt,discovers
doorgaan,Get on
vlees,meat
richting,direction
ruzie,row
verdient,deserves
gesloten,Closed
welterusten,Good night
belachelijk,ridiculous
rekening,account
verdorie,damn
ach,oh well
monster,sample
verrassing,surprise
rechter,right
ontsnappen,escape
gasten,guests
radio,radio
energie,energy
kennis,knowledge
verlies,loss
verschillende,various
tas,bag
veiligheid,safety
draagt,wears
enig,any
voet,foot
weekend,weekend
haalt,fetches
wijn,wine
verschil,difference
verkocht,sold
stoel,chair
commandant,commander
gat,hole
mes,knife
beslissing,decision
boom,tree
glas,glass
basis,base
schrijf,write
reet,ass
knul,boy
captain,captain
der,der
verjaardag,birthday
geregeld,organized
procent,per cent
neergeschoten,shot
spoor,track
kilometer,kilometers
bezorgd,Worried
