rank	word	lemma	meanings
2132	nacional		ADJ|national|1.00
2134	discutir		VERB|to discuss/argue|1.00
2135	evidencia		NOUN|evidence|1.00
2136	detalles	detalle	NOUN|details|1.00
2140	presente		NOUN|present/gift|0.60;ADJ|present|0.40
2142	criminal		NOUN|criminal|0.60;ADJ|criminal|0.40
2147	recibir		VERB|to receive|1.00
2150	huele	oler	VERB|smells|1.00
2153	enamorado		ADJ|in love|1.00
2154	enamorado	enamorar	VERB|fallen in love|1.00
2158	natural		ADJ|natural|1.00
2161	enfermera		NOUN|nurse|1.00
2163	sospechoso		NOUN|suspect|0.60;ADJ|suspicious|0.40
2164	local		ADJ|local|0.70;NOUN|premises|0.30
2166	camisa		NOUN|shirt|1.00
2168	aceptar		VERB|to accept|1.00
2172	parque		NOUN|park|1.00
2177	menudo		ADJ|frequent|0.50;ADV|often|0.50
2179	barrio		NOUN|neighborhood|1.00
2180	virus		NOUN|virus|1.00
2181	talento		NOUN|talent|1.00
2182	ministro		NOUN|minister|1.00
2187	responsabilidad		NOUN|responsibility|1.00
2188	respira	respirar	VERB|breathes|1.00
2190	pertenece	pertenecer	VERB|belongs|1.00
2191	desayuno		NOUN|breakfast|1.00
2192	desayuno	desayunar	VERB|I have breakfast|1.00
2193	campeón		NOUN|champion|1.00
2194	controlar		VERB|to control|1.00
2195	maría	María	PROPN|Maria|1.00
2196	maría		NOUN|maria|1.00
2197	nieve		NOUN|snow|1.00
2198	méxico	México	PROPN|Mexico|1.00
2203	fumar		VERB|to smoke|1.00
2205	Europa		PROPN|Europe|1.00
2207	pastel		NOUN|cake/pie|1.00
2216	asustado		ADJ|scared|1.00
2217	asustado	asustar	VERB|frightened|1.00
2219	reino		NOUN|kingdom/reign|1.00
2221	clave		NOUN|key/code|0.70;ADJ|key|0.30
2224	efecto		NOUN|effect|1.00
2225	plata		NOUN|silver/money|1.00
2228	universo		NOUN|universe|1.00
2229	política		NOUN|politics/policy|1.00
2230	almuerzo		NOUN|lunch|1.00
2231	almuerzo	almorzar	VERB|I have lunch|1.00
2234	humor		NOUN|humor/mood|1.00
2239	cantar		VERB|to sing|1.00
2241	disparo		NOUN|shot|1.00
2242	conversación		NOUN|conversation|1.00
2243	olor		NOUN|smell/odor|1.00
2245	muchacha		NOUN|girl|1.00
2246	modelo		NOUN|model|1.00
2247	curso		NOUN|course|1.00
2248	canal		NOUN|channel|1.00
2249	rock		NOUN|rock music|1.00
2256	resultado	resultar	VERB|resulted|1.00
2269	coño		INTJ|damn/fuck|0.70;NOUN|cunt|0.30
2284	ron	Ron	PROPN|Ron|1.00
2287	francia	Francia	PROPN|France|1.00
2339	cola	colar	VERB|strain/sneak in|1.00
2342	troya	Troya	PROPN|Troy|1.00
2377	enojado	enojar	VERB|angered/annoyed|1.00
2409	socorro	socorrer	VERB|help/aid|1.00
2419	helado	helar	VERB|frozen|1.00
2426	robado		ADJ|stolen|1.00
2437	firma	firmar	VERB|signs|1.00
2440	cristo	Cristo	PROPN|Christ|1.00
2463	flota	flotar	VERB|floats|1.00
2472	rescate	rescatar	VERB|rescue|1.00
2488	puto		ADJ|damn/fucking|0.70;NOUN|male prostitute|0.30
2492	irak	Irak	PROPN|Iraq|1.00
2525	alcance	alcanzar	VERB|reach|1.00
2534	proceso	procesar	VERB|process|1.00
2565	mate		NOUN|mate tea|0.60;VERB|kill|0.40
2572	libras	librar	VERB|free/deliver|1.00
2596	equivocada	equivocar	VERB|mistaken|1.00
2639	complicado	complicar	VERB|complicated|1.00
2647	suelta	soltar	VERB|releases/lets go|1.00
2652	dispuesto	disponer	VERB|willing/ready|1.00
2693	encargo	encargar	VERB|order/assignment|1.00
2705	copia	copiar	VERB|copy|1.00
2722	invitado	invitar	VERB|invited/guest|1.00
2725	oso	osar	VERB|dare|1.00
2758	disco	discar	VERB|dial|1.00
2760	transporte	transportar	VERB|transport|1.00
2784	pescado	pescar	VERB|fished/caught|1.00
2839	aviso	avisar	VERB|notice/warning|1.00
2850	esfuerzo	esforzar	VERB|effort|1.00
2860	abra		NOUN|cove/bay|1.00
2882	mia	Mia	PROPN|Mia|1.00
2891	registro	registrar	VERB|record/registration|1.00
2906	pene		NOUN|penis|1.00
2937	entrega	entregar	VERB|delivery/surrender|1.00
2946	aburrido	aburrir	VERB|bored|1.00
2952	planta	plantar	VERB|plant|1.00
2959	marina		NOUN|navy/marina|1.00
2962	alarma	alarmar	VERB|alarm|1.00
2966	recompensa	recompensar	VERB|reward|1.00
3001	altura		NOUN|height|1.00
3007	jugador		NOUN|player|1.00
3008	izquierdo		ADJ|left|1.00
3009	tecnología		NOUN|technology|1.00
3010	raza		NOUN|race/breed|1.00
3012	conde		NOUN|count/earl|1.00
3013	social		ADJ|social|1.00
3014	gobernador		NOUN|governor|1.00
3016	cubierta	cubierto	ADJ|covered|1.00
3017	cubierta	cubrir	VERB|cover/deck|1.00
3018	chiste		NOUN|joke|1.00
3019	chiste	chistar	VERB|joke/speak|1.00
3020	celda		NOUN|cell|1.00
3021	agarra	agarrar	VERB|grabs/catches|1.00
3023	personalmente		ADV|personally|1.00
3024	amistad		NOUN|friendship|1.00
3027	interesado		ADJ|interested|1.00
3028	educación		NOUN|education|1.00
3029	curiosidad		NOUN|curiosity|1.00
3030	repito	repetir	VERB|I repeat|1.00
