word,lemma,rank,duplicate
del,,33,False
al,,34,False
como,comer,36,True
esta,,42,False
fue,ir,70,True
casa,,94,False
siento,sentar,113,True
cosas,coser,134,False
trabajo,,151,False
hecho,,161,False
espera,,177,False
fuera,,185,False
fuera,ir,186,True
fuera,ser,187,True
cosa,coser,189,False
estado,,197,False
acuerdo,acordar,199,True
buena,,207,False
ven,venir,218,True
ve,ir,242,True
tarde,tardar,244,False
parte,,247,False
esos,eso,265,False
muerto,,272,False
unos,un,274,True
chica,,286,False
algún,,293,False
cuidado,,296,False
cuenta,,309,False
pasado,,314,False
dicho,,325,False
nueva,,327,False
camino,,334,False
ayuda,,336,False
primera,,339,False
esposa,,356,False
vale,,376,False
caso,casar,382,True
cerca,cercar,401,False
habla,,408,False
bajo,,417,False
llama,,419,False
haya,,445,False
equipo,,456,False
juego,,459,False
amo,,465,False
unas,un,473,True
comida,,481,False
vuelta,,487,False
pregunta,,495,False
fui,ser,498,True
fueron,ser,519,True
paso,,522,False
vivo,,527,False
arma,,537,False
vino,,540,False
lista,,556,False
armas,armar,560,True
culpa,,580,False
veras,,582,False
recuerdo,,597,False
sentido,,614,False
ésta,,626,False
trato,,631,False
acerca,,640,False
cambio,,643,False
falta,,645,False
gusto,,651,False
extraño,,658,False
peor,bien,663,True
querida,,675,False
querida,querido,676,False
calle,,683,False
odio,,693,False
hablas,habla,698,False
mala,,703,False
frente,,712,False
asesino,,717,False
sueño,,719,False
viaje,,724,False
lamento,,730,False
fuerza,,735,False
llamado,,737,False
oído,,739,False
dado,,741,False
preguntas,preguntar,748,True
sientes,sentar,760,True
haz,,763,False
baño,,767,False
daño,,772,False
querido,,778,False
duro,,780,False
prueba,,783,False
tonto,,786,False
campo,,787,False
ejército,,801,False
futuro,,802,False
llevar,,803,False
compañía,,804,False
sitio,,808,False
puesto,,810,False
puesto,poner,811,True
atención,,812,False
sino,,813,False
cambiar,,814,False
error,,815,False
blanco,,816,False
raro,,817,False
sal,,820,False
sal,salir,821,True
mente,,823,False
sistema,,824,False
película,,825,False
ello,,827,False
negocio,,828,False
negocio,negociar,829,True
novia,,830,False
permiso,,831,False
oficial,,835,False
aire,,837,False
regresar,,839,False
trasero,,842,False
grupo,,843,False
señorita,,845,False
música,,846,False
perra,,847,False
empezar,,849,False
siente,sentar,851,True
estúpido,,853,False
diferente,,854,False
traje,,856,False
modo,,857,False
mensaje,,859,False
llamada,,860,False
llamada,llamar,861,True
navidad,,862,False
pena,,864,False
pena,penar,865,False
largo,,866,False
largo,largar,867,True
piso,,869,False
piso,pisar,870,False
foto,,871,False
médico,,873,False
accidente,,874,False
fuiste,ser,876,True
imposible,,877,False
línea,,879,False
barco,,881,False
ganar,,882,False
normal,,883,False
mitad,,886,False
tras,,888,False
lindo,,890,False
programa,,892,False
pagar,,896,False
centro,,898,False
centro,centrar,899,False
ataque,,910,False
derecha,,920,False
izquierda,,921,False
pobre,,923,False
vista,,933,False
salvo,,935,False
pelo,,943,False
llamas,llama,961,False
baja,bajo,964,False
baja,,965,False
divertido,,970,False
vuelto,,973,False
peligro,,975,False
disculpa,,980,False
negocios,negociar,985,True
regreso,,991,False
media,,993,False
oro,,997,False
esposo,,1002,False
esposo,esposar,1003,True
norte,,1004,False
muerta,morir,1008,True
interesante,,1009,False
busca,,1012,False
terminar,,1013,False
completamente,,1015,False
cita,,1016,False
cita,citar,1017,False
siete,,1018,False
cumpleaños,,1019,False
abogado,,1020,False
alrededor,,1021,False
cerebro,,1022,False
porqué,,1023,False
llave,,1024,False
santo,,1025,False
hermoso,,1026,False
necesario,,1027,False
edificio,,1028,False
aun,,1030,False
ley,,1036,False
verdadero,,1038,False
pelea,,1039,False
pelea,pelear,1040,True
banco,,1041,False
terrible,,1042,False
calma,,1043,False
calma,calmar,1044,True
cena,,1045,False
cena,cenar,1046,True
gobierno,,1048,False
comprar,,1049,False
creen,crear,1051,True
sargento,,1052,False
destino,,1053,False
novio,,1056,False
sala,,1057,False
través,,1058,False
regalo,,1059,False
regalo,regalar,1060,False
iglesia,,1061,False
cualquiera,,1063,False
excelente,,1064,False
deseo,,1066,False
deseo,desear,1067,True
alma,,1068,False
diablo,,1069,False
cuántos,,1071,False
espada,,1072,False
carne,,1074,False
maravilloso,,1075,False
peligroso,,1079,False
dirección,,1080,False
libertad,,1081,False
detective,,1087,False
sorpresa,,1088,False
club,,1091,False
infierno,,1093,False
luna,,1095,False
salvar,,1096,False
carta,,1097,False
teniente,,1100,False
ambos,,1106,False
ambos,ambo,1107,False
decisión,,1108,False
enemigo,,1109,False
dulce,,1111,False
pruebas,probar,1113,True
abuelo,,1115,False
totalmente,,1116,False
carrera,,1119,False
vuelo,,1120,False
vuelo,volar,1121,True
ante,,1122,False
bienvenido,,1123,False
contacto,,1127,False
contacto,contactar,1128,False
posición,,1129,False
planeta,,1131,False
coronel,,1133,False
junto,,1134,False
junto,juntar,1135,False
base,,1138,False
base,basar,1139,False
oír,,1140,False
suelo,,1141,False
suelo,soler,1142,False
pelear,,1143,False
pistola,,1145,False
frío,,1146,False
frío,freír,1147,False
comandante,,1148,False
partes,partir,1150,True
sur,,1153,False
rato,,1155,False
mar,,1156,False
espacio,,1157,False
